Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2002-07-01,-0.01044290792196989,-0.010742450623636688,-0.01022559148211929,-0.010454656880070336,1080397
2002-07-02,-0.010525132529437542,-0.010660223611569255,-0.010395920493966437,-0.010624977653353308,1016147
2002-07-03,-0.010525132529437542,-0.010630855786409151,-0.010460526054899607,-0.010513384485768735,980394
2002-07-04,-0.010583869181573391,-0.010742449957131051,-0.0105721202242019,-0.0105721202242019,972747
2002-07-05,-0.010560371913015842,-0.01064260548360041,-0.010519263350167013,-0.01064260548360041,974496
2002-07-08,-0.011024373583495617,-0.011147715717492259,-0.010460526829926846,-0.010689593142333035,1061686
2002-07-09,-0.010736579075455666,-0.011041992581171212,-0.010666094467651318,-0.010983256017070767,1024719
2002-07-10,-0.010724830441176891,-0.010807056699928411,-0.010630856138367622,-0.010807056699928411,946638
2002-07-11,-0.010548630729317665,-0.011106599323147474,-0.010519262903363183,-0.011106599323147474,968220
2002-07-12,-0.010630855336785316,-0.010754198370031526,-0.010572119688949288,-0.010666093984672756,967763
2002-07-15,-0.010413538664579391,-0.010566248604372431,-0.01037242188489883,-0.010513383781809691,974157
2002-07-16,-0.010507512837648392,-0.010583868263472808,-0.010454655324528628,-0.010454655324528628,959138
2002-07-17,-0.010425287298858166,-0.01051338345687885,-0.010395919476572138,-0.01051338345687885,955902
2002-07-18,-0.010548630729317665,-0.010707211507843137,-0.010460526337849427,-0.010707211507843137,958081
2002-07-19,-0.010507512837648392,-0.01063085495283518,-0.010401789588966627,-0.01063085495283518,1022018
2002-07-22,-0.010260829702019691,-0.010554501566692668,-0.01019035240127087,-0.010337184222385803,959229
2002-07-23,-0.010260829702019691,-0.010448778306731115,-0.009984776705731523,-0.009984776705731523,950108
2002-07-24,-0.00999065674841404,-0.01029606940662162,-0.00999065674841404,-0.010160986517294865,1004507
2002-07-25,-0.010084628127515316,-0.01043702829990496,-0.009926047364736453,-0.010278447537126097,929688
2002-07-26,-0.00977333728224039,-0.009837943751161975,-0.009702852680773958,-0.009837943751161975,934529
2002-07-29,-0.009532530792057514,-0.00992604775956309,-0.009415059495231505,-0.00992604775956309,955236
2002-07-30,-0.00942680612206459,-0.00992604626809395,-0.009397438302270841,-0.00992604626809395,972108
2002-07-31,-0.009338704869151115,-0.009573641087777604,-0.009162504303989674,-0.009573641087777604,961513
2002-08-01,-0.009450297802686691,-0.009661744322580792,-0.009397440283934723,-0.009397440283934723,953331
2002-08-02,-0.009356323629617691,-0.009397440413776643,-0.009203620982030097,-0.009397440413776643,939461
2002-08-05,-0.009338704869151115,-0.009867312959869135,-0.00917425326189231,-0.009867312959869135,982116
2002-08-06,-0.009209491312503815,-0.009397439909704866,-0.009168374530550336,-0.009397439909704866,971195
2002-08-07,-0.00937982089817524,-0.009514903754214828,-0.009309336292485593,-0.009514903754214828,966576
2002-08-08,-0.009238860569894314,-0.009573641947858737,-0.009191872956505797,-0.009573641947858737,971443
2002-08-09,-0.009309336543083191,-0.009368072193397766,-0.009221240376449445,-0.009279968717925904,918884
2002-08-12,-0.009350452572107315,-0.009391568437619402,-0.009279967970199539,-0.009344581748363189,489590
2002-08-13,-0.009315215051174164,-0.009391569572447658,-0.009279969091542573,-0.009362201746108004,384772
2002-08-14,-0.009221239015460014,-0.009373941634087677,-0.009121385683848586,-0.009373941634087677,482452
2002-08-15,-0.009221239015460014,-0.009221239015460014,-0.009221239015460014,-0.009221239015460014,0
2002-08-16,-0.009074399247765541,-0.009279967603956735,-0.009021541736851272,-0.009197741357805843,520671
2002-08-19,-0.009068528190255165,-0.00927996736450296,-0.008992173683191555,-0.00927996736450296,501059
2002-08-20,-0.009062658064067364,-0.009156632347806587,-0.0090450309767314,-0.009156632347806587,507936
